Filename,tnodeembed-AUC,tnodeembed-F1_micro,tnodeembed-F1_macro,tnodeembed-final_loss,tnodeembed-final_accuracy,node2vec-AUC,node2vec-F1_micro,node2vec-F1_macro,node2vec-final_loss,node2vec-final_accuracy
interactions_with_dates.log,0.9165892137158055,0.0,0.0,2.714728355407715,0.20454545319080353,0.9033623280666367,0.0,0.0,4.246641159057617,0.35606059432029724
interactions_with_dates_1970.log,0.8914390794849422,0.0,0.0,5.219446182250977,0.21969696879386902,0.8912494801308032,0.0,0.0,5.598446369171143,0.20454545319080353
interactions_with_dates_1972.log,0.8747849769328341,0.0,0.0,4.269563674926758,0.19696970283985138,0.8921317287383692,0.0,0.0,5.523838043212891,0.20454545319080353
interactions_with_dates_1975.log,0.8876758057837545,0.0,0.0,4.284370422363281,0.15909090638160706,0.88609156221713,0.0,0.0,5.53274393081665,0.1515151560306549
interactions_with_dates_1976.log,0.8826975925179896,0.0,0.0,4.256592273712158,0.2651515007019043,0.8858523515398092,0.0,0.0,5.534828186035156,0.21969696879386902
interactions_with_dates_1977.log,0.9042539788900482,0.0,0.0,4.203198432922363,0.24242424964904785,0.901690320421992,0.0,0.0,5.523682594299316,0.21969696879386902
interactions_with_dates_1979.log,0.9024603799984843,0.0,0.0,4.344697952270508,0.18939393758773804,0.9055917521521393,0.0,0.0,5.53189754486084,0.19696970283985138
interactions_with_dates_1980.log,0.8917091227542897,0.0,0.0,4.31613826751709,0.19696970283985138,0.894418811975634,0.0,0.0,5.531264781951904,0.18939393758773804
interactions_with_dates_1981.log,0.8949723795290425,0.0,0.0,4.188802242279053,0.19696970283985138,0.896089683997212,0.0,0.0,5.522408962249756,0.21212121844291687
interactions_with_dates_1982.log,0.9069992803837628,0.0,0.0,4.255605697631836,0.13636364042758942,0.8932620252917844,0.0,0.0,5.526618003845215,0.15909090638160706
interactions_with_dates_1983.log,0.9077629696335054,0.0,0.0,4.3016743659973145,0.22727273404598236,0.9036196032789018,0.0,0.0,5.527709007263184,0.19696970283985138
interactions_with_dates_1984.log,0.8984350492371729,0.0,0.0,4.28755521774292,0.1666666716337204,0.9036227203203748,0.0,0.0,5.5301737785339355,0.1666666716337204
interactions_with_dates_1985.log,0.9064858566025942,0.0,0.0,4.298842430114746,0.21969696879386902,0.8986960997961979,0.0,0.0,5.5306267738342285,0.1818181872367859
interactions_with_dates_1986.log,0.8967563867020162,0.0,0.0,4.218173027038574,0.1818181872367859,0.8944740972339427,0.0,0.0,5.522712707519531,0.17424242198467255
interactions_with_dates_1987.log,0.879532253545537,0.0,0.0,4.188413143157959,0.1818181872367859,0.8696913150029962,0.0,0.0,5.487830638885498,0.15909090638160706
interactions_with_dates_1988.log,0.8984294979214694,0.0,0.0,4.233833312988281,0.19696970283985138,0.8976858454905495,0.0,0.0,5.506011009216309,0.19696970283985138
interactions_with_dates_1989.log,0.8797596645805379,0.0,0.0,4.5062737464904785,0.20454545319080353,0.8882894116463442,0.0,0.0,5.497156620025635,0.15909090638160706
interactions_with_dates_1990.log,0.8899776240980152,0.0,0.0,4.148220539093018,0.27272728085517883,0.8945264684230809,0.0,0.0,5.4772844314575195,0.25757575035095215
interactions_with_dates_1991.log,0.8954072740849095,0.0,0.0,4.245448589324951,0.2348484843969345,0.9005975218790455,0.0,0.0,5.440446853637695,0.21969696879386902
interactions_with_dates_1993.log,0.9015351004886237,0.0,0.0,4.255129814147949,0.3333333432674408,0.8824067398655244,0.0,0.0,5.4596991539001465,0.3030303120613098
interactions_with_dates_1994.log,0.901509138612573,0.0,0.0,4.253355979919434,0.280303031206131,0.8795508550049249,0.0,0.0,5.383066177368164,0.25
interactions_with_dates_1995.log,0.8469585233038486,0.002335766423357664,0.00010965513460167772,4.281031608581543,0.1666666716337204,0.8422823435073203,0.0,0.0,5.435252666473389,0.22727273404598236
interactions_with_dates_1996.log,0.8626672328901339,0.0,0.0,4.36649751663208,0.24242424964904785,0.8496737746784717,0.0,0.0,5.267708778381348,0.25
interactions_with_dates_1997.log,0.8738102605847539,0.0,0.0,4.400969505310059,0.2651515007019043,0.8548265557362846,0.0,0.0,5.201820373535156,0.24242424964904785
interactions_with_dates_1998.log,0.8483730264441,0.0,0.0,4.253323078155518,0.31060606241226196,0.8337532189828025,0.0,0.0,5.11630916595459,0.31060606241226196
interactions_with_dates_1999.log,0.8255320994315007,0.0,0.0,4.185784339904785,0.4015151560306549,0.8232077711637384,0.0,0.0,4.9286274909973145,0.35606059432029724
interactions_with_dates_2000.log,0.8545473666371584,0.0,0.0,3.8962440490722656,0.4318181872367859,0.8369000212116738,0.0,0.0,4.858891487121582,0.3712121248245239
interactions_with_dates_2001.log,0.8263356680166463,0.0,0.0,4.159207820892334,0.280303031206131,0.813230576431877,0.0,0.0,4.772848129272461,0.3787878751754761
interactions_with_dates_2002.log,0.8467941310660534,0.0,0.0,3.933837890625,0.46212121844291687,0.8428573059825566,0.0,0.0,4.65460205078125,0.40909090638160706
interactions_with_dates_2003.log,0.8448632820246931,0.0,0.0,3.8862521648406982,0.4545454680919647,0.825066337603366,0.0,0.0,4.473081588745117,0.49242424964904785
interactions_with_dates_2004.log,0.8525400843575555,0.0,0.0,3.7943642139434814,0.4318181872367859,0.8330611770980587,0.0,0.0,4.53219747543335,0.5151515007019043
interactions_with_dates_2005.log,0.863299719202264,0.0,0.0,3.64029860496521,0.3787878751754761,0.8586475656908417,0.0,0.0,4.104397773742676,0.5757575631141663
interactions_with_dates_2006.log,0.8763472666683916,0.0,0.0,3.3620896339416504,0.35606059432029724,0.8641320253213122,0.0,0.0,3.9433963298797607,0.49242424964904785
interactions_with_dates_2007.log,0.8659370383471611,0.0,0.0,3.3913800716400146,0.42424243688583374,0.854160936324541,0.0,0.0,4.023518085479736,0.5
interactions_with_dates_2008.log,0.8638057844246401,0.0,0.0,3.240946054458618,0.3333333432674408,0.8418667263658939,0.0,0.0,4.169137001037598,0.5378788113594055
interactions_with_dates_2009.log,0.8803263641787356,0.0,0.0,3.3171942234039307,0.3636363744735718,0.8650739946971039,0.0,0.0,4.006905555725098,0.5227272510528564
interactions_with_dates_2010.log,0.8933435617894038,0.0,0.0,3.430975914001465,0.3636363744735718,0.8783658305542156,0.0,0.0,3.9959850311279297,0.5227272510528564
interactions_with_dates_1992.log,,,,,,0.8887969126926223,0.0,0.0,5.471640110015869,0.15909090638160706
interactions_with_dates_2013.log,,,,,,0.8857028055415676,0.0,0.0,3.7021899223327637,0.42424243688583374
interactions_with_dates_2014.log,,,,,,0.8962547415073068,0.0,0.0,3.6445696353912354,0.5
interactions_with_dates_2015.log,,,,,,0.9102582299964543,0.0,0.0,3.5114479064941406,0.469696968793869
