Filename,tnodeembed-AUC,tnodeembed-F1_micro,tnodeembed-F1_macro,tnodeembed-final_loss,tnodeembed-final_accuracy,node2vec-AUC,node2vec-F1_micro,node2vec-F1_macro,node2vec-final_loss,node2vec-final_accuracy
CollegeMsg_20040415.log,0.4984741445597847,0.5003063725490197,0.3340137999020459,0.685794472694397,0.5151515007019043,0.4984741445597847,0.5003063725490197,0.3340137999020459,0.6888676285743713,0.5151515007019043
CollegeMsg_20040416.log,0.46396893622645136,0.5018382352941176,0.3374053349513472,0.6901581883430481,0.5064935088157654,0.4609277381295655,0.46047794117647056,0.32108069034065234,0.6903658509254456,0.5064935088157654
CollegeMsg_20040419.log,0.46429520797289503,0.5018382352941176,0.3374053349513472,0.6811224818229675,0.5194805264472961,0.46429520797289503,0.5018382352941176,0.3374053349513472,0.6874937415122986,0.5108225345611572
CollegeMsg_20040420.log,0.4769293210544023,0.45925245098039214,0.32834142550932904,0.674449622631073,0.5151515007019043,0.48277029868319876,0.46200980392156865,0.3260559654020088,0.6777281761169434,0.4978354871273041
CollegeMsg_20040421.log,0.5669138672625913,0.5012254901960784,0.3475719000471476,0.6521931886672974,0.5108225345611572,0.5658340542099193,0.5661764705882353,0.4867514192052451,0.6640920639038086,0.5194805264472961
CollegeMsg_20040422.log,0.5232253670463284,0.5474877450980392,0.46750500443421095,0.6022632122039795,0.5844155550003052,0.5976594413807188,0.5854779411764706,0.5280018169429934,0.6113183498382568,0.6017315983772278
CollegeMsg_20040423.log,0.5448762570285467,0.5582107843137255,0.490485619851745,0.5690303444862366,0.6320346593856812,0.5855892640450789,0.5818014705882353,0.5261029183000435,0.5976605415344238,0.6103895902633667
CollegeMsg_20040424.log,0.5539384641724335,0.5603553921568627,0.5075310681862509,0.5221283435821533,0.6536796689033508,0.5595545433246828,0.5621936274509803,0.5022142459445335,0.5353695154190063,0.6450216174125671
CollegeMsg_20040425.log,0.632315583249231,0.6047794117647058,0.5728802665684185,0.5349974036216736,0.6320346593856812,0.5743685571655132,0.5670955882352942,0.5137621130326558,0.559141993522644,0.6363636255264282
CollegeMsg_20040426.log,0.5943206939638601,0.5765931372549019,0.5353909892272173,0.5056562423706055,0.6753246784210205,0.5910686770112457,0.5762867647058824,0.5305299295344363,0.5235196352005005,0.6796537041664124
CollegeMsg_20040427.log,0.6010896124687619,0.585171568627451,0.549539434013266,0.41764262318611145,0.7402597665786743,0.613295705077374,0.585171568627451,0.5455291843198553,0.46723395586013794,0.7142857313156128
CollegeMsg_20040428.log,0.5996086240868895,0.5802696078431373,0.5460628898128899,0.36692288517951965,0.7748917937278748,0.5936463739907728,0.5787377450980392,0.5464401157952129,0.4276285171508789,0.7575757503509521
CollegeMsg_20040429.log,0.6404410262879662,0.6151960784313726,0.5959708091811055,0.34905141592025757,0.8008658289909363,0.6314691164455979,0.5998774509803921,0.5770683427898355,0.4103850722312927,0.7922077775001526
CollegeMsg_20040430.log,0.6358797923274702,0.6115196078431373,0.5970751687245395,0.3342408537864685,0.7792207598686218,0.6199938500216262,0.5998774509803921,0.5840861725793232,0.4059419631958008,0.8095238208770752
CollegeMsg_20040501.log,0.6429721666546518,0.6204044117647058,0.609681483908671,0.2934892475605011,0.826839804649353,0.6440335823361208,0.6191789215686274,0.6070694630031068,0.3555358648300171,0.8311688303947449
CollegeMsg_20040502.log,0.6220338932141484,0.6050857843137255,0.5927979375558388,0.28022271394729614,0.8441558480262756,0.6169342545535371,0.6017156862745098,0.5896363051174767,0.34303799271583557,0.8614718317985535
CollegeMsg_20040503.log,0.6446915699490581,0.617953431372549,0.6074058948416639,0.26681986451148987,0.8484848737716675,0.6438792696919454,0.6053921568627451,0.5942874877823947,0.32383039593696594,0.8571428656578064
CollegeMsg_20040504.log,0.6400650065479623,0.6066176470588235,0.6013840830449827,0.21533989906311035,0.8831169009208679,0.6228923746275471,0.6047794117647058,0.5992908867836111,0.2648967504501343,0.9134199023246765
CollegeMsg_20040505.log,0.6422871461697425,0.6075367647058824,0.6048528848202992,0.17489558458328247,0.9047619104385376,0.637142264994233,0.5977328431372549,0.5912518866642344,0.23918034136295319,0.9090909361839294
CollegeMsg_20040506.log,0.6427065311418685,0.6112132352941176,0.6051338502418235,0.1600218564271927,0.9134199023246765,0.6623827073721646,0.6243872549019608,0.6196570733376421,0.225884810090065,0.9134199023246765
CollegeMsg_20040507.log,0.655494018226163,0.6176470588235294,0.6152431083318881,0.12291328608989716,0.9307359457015991,0.6660702539287774,0.6231617647058824,0.6206802721088436,0.2079722285270691,0.9264069199562073
CollegeMsg_20040508.log,0.6468817957636486,0.6118259803921569,0.6103777100167278,0.11387352645397186,0.9350649118423462,0.6519876294574203,0.6167279411764706,0.6143742684988512,0.1871214658021927,0.939393937587738
CollegeMsg_20040509.log,0.6307493662293349,0.5971200980392157,0.5953970875897773,0.11121270805597305,0.948051929473877,0.6427328131007304,0.6078431372549019,0.6058861994891704,0.16682039201259613,0.9437229633331299
CollegeMsg_20040510.log,0.6477718155276816,0.609375,0.606373949855242,0.10591115802526474,0.9350649118423462,0.6464335006367743,0.6197916666666666,0.6180406049870555,0.1677238941192627,0.9437229633331299
CollegeMsg_20040511.log,0.639793363730296,0.6020220588235294,0.6008482855092467,0.09274279326200485,0.948051929473877,0.651655725862649,0.6136642156862745,0.6123087130750994,0.1590198129415512,0.9567099809646606
CollegeMsg_20040512.log,0.628041573553441,0.5940563725490197,0.5938419268616822,0.10795038193464279,0.9437229633331299,0.624744501814206,0.5962009803921569,0.5942901979719941,0.18081755936145782,0.939393937587738
