Filename,tnodeembed-AUC,tnodeembed-F1_micro,tnodeembed-F1_macro,tnodeembed-final_loss,tnodeembed-final_accuracy,node2vec-AUC,node2vec-F1_micro,node2vec-F1_macro,node2vec-final_loss,node2vec-final_accuracy
interactions_with_dates_1970.log,0.5000333979026117,0.5000500968539175,0.33344465000941803,0.6931578516960144,0.4983667731285095,0.49989980629216485,0.5,0.3333333333333333,0.6931924819946289,0.47456836700439453
interactions_with_dates_1972.log,0.4997829219986731,0.5,0.3333333333333333,0.6928855776786804,0.48716750741004944,0.49974952744232104,0.5,0.3333333333333333,0.6928772926330566,0.4941670596599579
interactions_with_dates_1975.log,0.49948257065166685,0.4998497094382473,0.33356305105871453,0.692538321018219,0.49976667761802673,0.4994825884983852,0.4998497094382473,0.33356305105871453,0.69261634349823,0.4890340566635132
interactions_with_dates_1976.log,0.49981657589015155,0.5,0.3339557419723618,0.6907247304916382,0.49976667761802673,0.49981648107946003,0.4997996125843297,0.33430943314320405,0.6909291744232178,0.46990200877189636
interactions_with_dates_1977.log,0.49970054879685205,0.499766214681718,0.33458928784237985,0.6897319555282593,0.505366325378418,0.4997675543010166,0.4997996125843297,0.3348103602548029,0.6899682879447937,0.5002332925796509
interactions_with_dates_1979.log,0.49936792556362203,0.49954912831474185,0.3357244188468751,0.6877822875976562,0.5016332268714905,0.4990351974809215,0.49938213880168325,0.3352978471689165,0.6881147623062134,0.5086327791213989
interactions_with_dates_1980.log,0.4993869886474035,0.49954912831474185,0.33630847645366585,0.6873185038566589,0.5058329701423645,0.4990545751131144,0.49938213880168325,0.336465809760371,0.687641978263855,0.4890340566635132
interactions_with_dates_1981.log,0.4994359957360799,0.4995992251686594,0.33726203041865455,0.687104344367981,0.5086327791213989,0.499402588352399,0.49958252621735355,0.33745742262300776,0.6871282458305359,0.505366325378418
interactions_with_dates_1982.log,0.49973934700490413,0.4996827199251887,0.3382842688185243,0.6829432249069214,0.5109659433364868,0.49953955689658974,0.4996827199251887,0.3389183483039387,0.6831527948379517,0.5132991075515747
interactions_with_dates_1983.log,0.5033528618669663,0.5026551332576314,0.3452611177906771,0.6804309487342834,0.5156322717666626,0.5032532660241972,0.5026384343063256,0.3453661225741985,0.6808258295059204,0.5160989165306091
interactions_with_dates_1984.log,0.5017928316924488,0.501886981497562,0.34644188384202323,0.6824358701705933,0.5170322060585022,0.501558483087118,0.501753389887115,0.345818984410651,0.6832292675971985,0.5146990418434143
interactions_with_dates_1985.log,0.503081528168629,0.503172800748113,0.34975158403539014,0.680469274520874,0.5202986598014832,0.5034119066193126,0.5032395965533365,0.3494243971413048,0.6814044713973999,0.5174988508224487
interactions_with_dates_1986.log,0.5038989474679212,0.5033230913098657,0.347879949503167,0.6796898245811462,0.5137657523155212,0.5030451286710693,0.5029056175272193,0.34807087627225924,0.6810814738273621,0.5146990418434143
interactions_with_dates_1987.log,0.5042163926248776,0.5035067797742302,0.35115189183864803,0.6743341088294983,0.522631824016571,0.5042232128598493,0.5034232850177008,0.3509192053881529,0.6747868657112122,0.5221651792526245
