Filename,tnodeembed-AUC,tnodeembed-F1_micro,tnodeembed-F1_macro,tnodeembed-final_loss,tnodeembed-final_accuracy,node2vec-AUC,node2vec-F1_micro,node2vec-F1_macro,node2vec-final_loss,node2vec-final_accuracy
interactions_with_dates_1992.log,0.544191119931594,0.5459388150424154,0.45594877205026363,0.5900363922119141,0.6266915798187256,0.5494162576001757,0.5464397835815911,0.4533950007642798,0.5983886122703552,0.6240808963775635
interactions_with_dates_1993.log,0.5529609164764611,0.5536036336918042,0.47411398273734423,0.5677154064178467,0.6542230248451233,0.5520371039655357,0.5530525682987109,0.4727456067350915,0.5755171179771423,0.6528231501579285
interactions_with_dates_1994.log,0.5687492116491009,0.574193440651927,0.5114602689970615,0.5338679552078247,0.6826878190040588,0.5813293104539771,0.5791196312871552,0.5258984085511936,0.5441442728042603,0.6817545294761658
interactions_with_dates_1995.log,0.5789343288101969,0.5779006078418275,0.5273102448440605,0.5022234916687012,0.7116191983222961,0.5795957599828933,0.5784683721862267,0.5294217946666225,0.5149843096733093,0.7074195146560669
interactions_with_dates_1996.log,0.6020363731424181,0.599609244539443,0.5643564137021272,0.4462493658065796,0.7545496821403503,0.6057095875083073,0.6009618595952174,0.5679546601812298,0.46347126364707947,0.752683162689209
interactions_with_dates_1997.log,0.6088292189783913,0.6091944425890055,0.5862396457930351,0.37525683641433716,0.807746171951294,0.6124312650930535,0.6072907621401376,0.5826997368723972,0.39936649799346924,0.8026131391525269
interactions_with_dates_1998.log,0.6491465993740684,0.6457818449001402,0.6317138430128975,0.32242533564567566,0.845543622970581,0.649064483276534,0.6432603032529557,0.6284421326742367,0.3447396457195282,0.8422771692276001
interactions_with_dates_1999.log,0.6555966627323725,0.6518268652728608,0.642650904194259,0.2625919580459595,0.8833411335945129,0.6648615378416395,0.6540645247478458,0.6476950342557501,0.28453218936920166,0.8828744888305664
interactions_with_dates_2000.log,0.6774909398791753,0.6641840892391958,0.6608221502906408,0.2178800255060196,0.9029397964477539,0.6721002370887458,0.6540144278939283,0.6455894114668226,0.24190929532051086,0.903873085975647
interactions_with_dates_2001.log,0.6586859676085364,0.6581056709638635,0.6477577493380322,0.18111105263233185,0.9253383278846741,0.6817568638400816,0.6600260503640372,0.6553476532553797,0.20748932659626007,0.9253383278846741
interactions_with_dates_2002.log,0.6556972618953408,0.6476187295437846,0.6404979285669963,0.15375962853431702,0.9356042742729187,0.6799483716522527,0.6589573174804623,0.6550900912915207,0.17535382509231567,0.9398040175437927
interactions_with_dates_2003.log,0.6524681391348547,0.6448968004809298,0.6382772036321638,0.12510401010513306,0.9542697072029114,0.693989746373191,0.6569534433237593,0.6539607779453732,0.15826943516731262,0.9491367340087891
